title,release_date,budget,revenue,ganancia,anio,mes,dia,dia_semana,key
Friday,1995-04-26,3500000,28215918,24715918,1995,Abril,26,Miercoles,68
From Dusk Till Dawn,1996-01-19,19000000,25836616,6836616,1996,Enero,19,Viernes,69
Fair Game,1995-11-03,50000000,11534477,-38465523,1995,Noviembre,03,Viernes,70
Kicking and Screaming,1995-10-06,0,718490,718490,1995,Octubre,06,Viernes,71
Les Miserables,1995-03-22,0,0,0,1995,Marzo,22,Miercoles,72
Bed of Roses,1996-01-26,0,19030691,19030691,1996,Enero,26,Viernes,73
Big Bully,1996-01-26,15000000,2042530,-12957470,1996,Enero,26,Viernes,74
Screamers,1995-09-08,20000000,5781885,-14218115,1995,Septiembre,08,Viernes,75
Nico Icon,1995-02-18,0,0,0,1995,Febrero,18,Sabado,76
The Crossing Guard,1995-11-15,0,0,0,1995,Noviembre,15,Miercoles,77
0,,44000000,6,-43999994,,,,,78
The White Balloon,1995-01-01,0,0,0,1995,Enero,01,Domingo,79
Things to Do in Denver When You're Dead,1995-12-01,8000000,529766,-7470234,1995,Diciembre,01,Viernes,80
Antonia's Line,1995-09-12,900000,0,-900000,1995,Septiembre,12,Martes,81
Once Upon a Time... When We Were Colored,1996-01-26,0,0,0,1996,Enero,26,Viernes,82
108.0,,0,0,0,,,,,83
Angels and Insects,1995-09-10,0,0,0,1995,Septiembre,10,Domingo,84
White Squall,1996-02-02,38000000,10300000,-27700000,1996,Febrero,02,Viernes,85
Dunston Checks In,1996-01-12,16000000,0,-16000000,1996,Enero,12,Viernes,86
Black Sheep,1996-02-01,0,32,32,1996,Febrero,01,Jueves,87
Nick of Time,1995-11-22,8169363,8175346,5983,1995,Noviembre,22,Miercoles,88
The Journey of August King,1995-09-14,0,0,0,1995,Septiembre,14,Jueves,89
Mary Reilly,1996-02-23,47000000,12379402,-34620598,1996,Febrero,23,Viernes,90
Vampire in Brooklyn,1995-10-26,14000000,19800000,5800000,1995,Octubre,26,Jueves,91
112.0,,0,0,0,,,,,92
Broken Arrow,1996-02-09,50000000,150270147,100270147,1996,Febrero,09,Viernes,93
A Midwinter's Tale,1995-12-01,0,0,0,1995,Diciembre,01,Viernes,94
La Haine,1995-05-31,3000000,0,-3000000,1995,Mayo,31,Miercoles,95
Shopping,1994-12-06,0,0,0,1994,Diciembre,06,Martes,96
"",,0,0,0,,,,,97
City Hall,1996-02-16,0,0,0,1996,Febrero,16,Viernes,98
Bottle Rocket,1996-02-21,7000000,560069,-6439931,1996,Febrero,21,Miercoles,99
Mr. Wrong,1996-02-16,0,0,0,1996,Febrero,16,Viernes,100
Unforgettable,1996-02-23,18000000,0,-18000000,1996,Febrero,23,Viernes,101
Happy Gilmore,1996-02-16,12000000,41205099,29205099,1996,Febrero,16,Viernes,102
The Bridges of Madison County,1995-05-28,24000000,182016617,158016617,1995,Mayo,28,Domingo,103
Nobody Loves Me,1994-11-07,0,0,0,1994,Noviembre,07,Lunes,104
Muppet Treasure Island,1996-02-16,0,34327391,34327391,1996,Febrero,16,Viernes,105
Catwalk,1995-12-08,0,0,0,1995,Diciembre,08,Viernes,106
Headless Body in Topless Bar,1995-05-20,0,0,0,1995,Mayo,20,Sabado,107
Braveheart,1995-05-24,72000000,210000000,138000000,1995,Mayo,24,Miercoles,108
Taxi Driver,1976-02-07,1300000,28262574,26962574,1976,Febrero,07,Sabado,109
Rumble in the Bronx,1995-01-30,7500000,32392047,24892047,1995,Enero,30,Lunes,110
Before and After,1996-02-23,35000000,0,-35000000,1996,Febrero,23,Viernes,111
Margaret's Museum,1995-09-13,0,0,0,1995,Septiembre,13,Miercoles,112
Happiness Is in the Field,1995-01-31,13365000,0,-13365000,1995,Enero,31,Martes,113
Anne Frank Remembered,1995-06-08,0,1,1,1995,Junio,08,Jueves,114
The Young Poisoner's Handbook,1995-01-20,0,0,0,1995,Enero,20,Viernes,115
If Lucy Fell,1996-03-08,0,0,0,1996,Marzo,08,Viernes,116
Steal Big Steal Little,1995-09-29,25000000,6278139,-18721861,1995,Septiembre,29,Viernes,117
Race the Sun,1996-03-22,0,0,0,1996,Marzo,22,Viernes,118
The Boys of St. Vincent,1992-12-06,0,0,0,1992,Diciembre,06,Domingo,119
Boomerang,1992-06-30,40000000,70100000,30100000,1992,Junio,30,Martes,120
Chungking Express,1994-07-14,0,0,0,1994,Julio,14,Jueves,121
The Star Maker,1995-09-21,0,0,0,1995,Septiembre,21,Jueves,122
Flirting with Disaster,1996-03-22,7000000,14702438,7702438,1996,Marzo,22,Viernes,123
The Neverending Story III: Escape from Fantasia,1994-10-26,17000000,0,-17000000,1994,Octubre,26,Miercoles,124
The Silences of the Palace,1994-09-30,0,0,0,1994,Septiembre,30,Viernes,125
,,0,0,0,,,,,126
,,0,0,0,,,,,127
Pie in the Sky,1996-02-09,0,0,0,1996,Febrero,09,Viernes,128
Angela,1995-01-01,0,0,0,1995,Enero,01,Domingo,129
Frankie Starlight,1995-11-22,0,0,0,1995,Noviembre,22,Miercoles,130
Jade,1995-10-13,50000000,9851610,-40148390,1995,Octubre,13,Viernes,131
,,0,0,0,,,,,132
,,0,0,0,,,,,133
Down Periscope,1996-03-01,0,0,0,1996,Marzo,01,Viernes,134
From the Journals of Jean Seberg,1995-09-08,0,0,0,1995,Septiembre,08,Viernes,135
Released,,0,0,0,,,,,136
The Neon Bible,1995-08-23,0,0,0,1995,Agosto,23,Miercoles,137
Target,1995-08-01,0,0,0,1995,Agosto,01,Martes,138
Up Close & Personal,1996-03-01,60000000,0,-60000000,1996,Marzo,01,Viernes,139
The Birdcage,1996-03-08,31000000,185260553,154260553,1996,Marzo,08,Viernes,140
Virgin Mary,1995-10-12,0,0,0,1995,Octubre,12,Jueves,141
The Brothers McMullen,1995-08-09,0,0,0,1995,Agosto,09,Miercoles,142
Bad Boys,1995-04-07,19000000,141407024,122407024,1995,Abril,07,Viernes,143
The Amazing Panda Adventure,1995-08-25,0,0,0,1995,Agosto,25,Viernes,144
The Basketball Diaries,1995-04-21,0,0,0,1995,Abril,21,Viernes,145
An Awfully Big Adventure,1995-07-21,4000000,851545,-3148455,1995,Julio,21,Viernes,146
Amateur,1994-08-05,0,0,0,1994,Agosto,05,Viernes,147
Apollo 13,1995-06-30,52000000,355237933,303237933,1995,Junio,30,Viernes,148
Rob Roy,1995-04-13,28000000,31596911,3596911,1995,Abril,13,Jueves,149
The Addiction,1995-01-10,0,0,0,1995,Enero,10,Martes,150
Batman Forever,1995-06-16,100000000,336529144,236529144,1995,Junio,16,Viernes,151
Belle de Jour,1967-05-24,0,0,0,1967,Mayo,24,Miercoles,152
Beyond Rangoon,1995-05-24,0,0,0,1995,Mayo,24,Miercoles,153
Blue in the Face,1995-09-15,2000000,1275000,-725000,1995,Septiembre,15,Viernes,154
Canadian Bacon,1995-06-08,11000000,178104,-10821896,1995,Junio,08,Jueves,155
Get an afterlife,,50000000,0,-50000000,,,,,156
Clockers,1995-09-15,25000000,13071518,-11928482,1995,Septiembre,15,Viernes,157
Congo,1995-06-09,50000000,152022101,102022101,1995,Junio,09,Viernes,158
Crimson Tide,1995-05-12,53000000,157387195,104387195,1995,Mayo,12,Viernes,159
Crumb,1994-09-10,0,3174695,3174695,1994,Septiembre,10,Sabado,160
Desperado,1995-08-25,7000000,25405445,18405445,1995,Agosto,25,Viernes,161
Devil in a Blue Dress,1995-09-15,27000000,16140822,-10859178,1995,Septiembre,15,Viernes,162
Die Hard: With a Vengeance,1995-05-19,90000000,366101666,276101666,1995,Mayo,19,Viernes,163
The Doom Generation,1995-10-27,0,0,0,1995,Octubre,27,Viernes,164
Feast of July,1995-10-12,0,0,0,1995,Octubre,12,Jueves,165
First Knight,1995-07-07,55000000,127600435,72600435,1995,Julio,07,Viernes,166
Free Willy 2 - The Adventure Home,1995-07-19,0,0,0,1995,Julio,19,Miercoles,167
Hackers,1995-09-14,20000000,7563728,-12436272,1995,Septiembre,14,Jueves,168
Love is an adventure when one of you is sure... and the other is positive.,,0,0,0,,,,,169
Johnny Mnemonic,1995-05-26,25000000,19075720,-5924280,1995,Mayo,26,Viernes,170
Judge Dredd,1995-06-30,90000000,113493481,23493481,1995,Junio,30,Viernes,171
Jury Duty,1995-04-12,0,17014653,17014653,1995,Abril,12,Miercoles,172
Released,,1500000,0,-1500000,,,,,173
Living in Oblivion,1995-01-20,500000,1148752,648752,1995,Enero,20,Viernes,174
Lord of Illusions,1995-08-25,0,0,0,1995,Agosto,25,Viernes,175
Love & Human Remains,1993-05-20,0,0,0,1993,Mayo,20,Jueves,176
Released,,0,0,0,,,,,177
Mallrats,1995-10-20,6000000,2122561,-3877439,1995,Octubre,20,Viernes,178
Mighty Morphin Power Rangers: The Movie,1995-06-30,15000000,66000000,51000000,1995,Junio,30,Viernes,179
Moonlight and Valentino,1995-09-29,0,0,0,1995,Septiembre,29,Viernes,180
Mute Witness,1995-09-28,2,1,-1,1995,Septiembre,28,Jueves,181
Nadja,1994-09-13,0,0,0,1994,Septiembre,13,Martes,182
The Net,1995-07-28,22000000,110627965,88627965,1995,Julio,28,Viernes,183
Nine Months,1995-07-12,0,69660733,69660733,1995,Julio,12,Miercoles,184
Party Girl,1995-06-09,150000,472370,322370,1995,Junio,09,Viernes,185
The Prophecy,1995-09-01,8,16,8,1995,Septiembre,01,Viernes,186
Reckless,1995-11-17,0,0,0,1995,Noviembre,17,Viernes,187
"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",,0,0,0,,,,,188
The Scarlet Letter,1995-10-13,50000000,10382407,-39617593,1995,Octubre,13,Viernes,189
The Show,1995-08-25,0,0,0,1995,Agosto,25,Viernes,190
Showgirls,1995-09-22,45000000,20350754,-24649246,1995,Septiembre,22,Viernes,191
Smoke,1995-06-09,7000000,8349430,1349430,1995,Junio,09,Viernes,192
Released,,0,0,0,,,,,193
Species,1995-07-07,35000000,113374103,78374103,1995,Julio,07,Viernes,194
"[{'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'en', 'name': 'English'}]",,0,0,0,,,,,195
Strange Days,1995-10-13,42000000,7959291,-34040709,1995,Octubre,13,Viernes,196
The Umbrellas of Cherbourg,1964-02-19,0,0,0,1964,Febrero,19,Miercoles,197
The Tie That Binds,1995-09-08,14000000,5780000,-8220000,1995,Septiembre,08,Viernes,198
115.0,,0,0,0,,,,,199
Total Eclipse,1995-11-02,0,339889,339889,1995,Noviembre,02,Jueves,200
"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,0,47774193,47774193,1995,Septiembre,07,Jueves,201
Under Siege 2: Dark Territory,1995-07-13,60000000,104324083,44324083,1995,Julio,13,Jueves,202
Unstrung Heroes,1995-09-15,0,0,0,1995,Septiembre,15,Viernes,203
"[{'iso_639_1': 'en', 'name': 'English'}]",,0,0,0,,,,,204
A Walk in the Clouds,1995-08-11,20000000,50012507,30012507,1995,Agosto,11,Viernes,205
Waterworld,1995-07-28,175000000,264218220,89218220,1995,Julio,28,Viernes,206
White Man's Burden,1995-12-01,8000000,0,-8000000,1995,Diciembre,01,Viernes,207
Wild Bill,1995-12-01,30000000,0,-30000000,1995,Diciembre,01,Viernes,208
The Browning Version,1994-10-12,0,0,0,1994,Octubre,12,Miercoles,209
Bushwhacked,1995-08-04,0,0,0,1995,Agosto,04,Viernes,210
Burnt by the Sun,1994-05-01,2800000,2616503,-183497,1994,Mayo,01,Domingo,211
Before the Rain,1994-06-09,0,763847,763847,1994,Junio,09,Jueves,212
Before Sunrise,1995-01-27,2500000,5535405,3035405,1995,Enero,27,Viernes,213
Billy Madison,1995-02-10,10000000,26488734,16488734,1995,Febrero,10,Viernes,214
The Babysitter,1995-10-17,0,0,0,1995,Octubre,17,Martes,215
Boys on the Side,1995-02-03,21000000,23450000,2450000,1995,Febrero,03,Viernes,216
The Cure,1995-04-21,0,0,0,1995,Abril,21,Viernes,217
Castle Freak,1995-08-04,0,0,0,1995,Agosto,04,Viernes,218
Circle of Friends,1995-03-16,0,0,0,1995,Marzo,16,Jueves,219
Clerks,1994-09-13,27000,3151130,3124130,1994,Septiembre,13,Martes,220
Don Juan DeMarco,1994-10-01,25000000,22200000,-2800000,1994,Octubre,01,Sabado,221
Disclosure,1994-12-09,55000000,214015089,159015089,1994,Diciembre,09,Viernes,222
Dream Man,1995-01-01,0,0,0,1995,Enero,01,Domingo,223
Drop Zone,1994-12-08,45000000,0,-45000000,1994,Diciembre,08,Jueves,224
Destiny Turns on the Radio,1995-04-28,0,0,0,1995,Abril,28,Viernes,225
Prepare yourself for the moment of truth.,,0,0,0,,,,,226
Dolores Claiborne,1995-03-24,0,0,0,1995,Marzo,24,Viernes,227
"What the one doesn't have, the other is missing.",,16000000,0,-16000000,,,,,228
Eat Drink Man Woman,1994-08-03,0,7294403,7294403,1994,Agosto,03,Miercoles,229
Exotica,1994-09-24,0,0,0,1994,Septiembre,24,Sabado,230
Exit to Eden,1994-10-14,0,6841570,6841570,1994,Octubre,14,Viernes,231
"[{'iso_639_1': 'en', 'name': 'English'}]",,18000000,0,-18000000,,,,,232
French Kiss,1995-05-05,0,0,0,1995,Mayo,05,Viernes,233
Forget Paris,1995-05-19,0,0,0,1995,Mayo,19,Viernes,234
Far from Home: The Adventures of Yellow Dog,1995-01-13,0,0,0,1995,Enero,13,Viernes,235
A Goofy Movie,1995-04-07,0,35348597,35348597,1995,Abril,07,Viernes,236
Hideaway,1995-03-03,15000000,12201255,-2798745,1995,Marzo,03,Viernes,237
Fluke,1995-06-02,0,0,0,1995,Junio,02,Viernes,238
Farinelli,1994-12-07,0,0,0,1994,Diciembre,07,Miercoles,239
Gordy,1995-05-12,0,3992809,3992809,1995,Mayo,12,Viernes,240
Gumby: The Movie,1995-12-01,0,0,0,1995,Diciembre,01,Viernes,241
The Glass Shield,1994-09-16,0,0,0,1994,Septiembre,16,Viernes,242
Hoop Dreams,1994-09-12,700000,7830611,7130611,1994,Septiembre,12,Lunes,243
Heavenly Creatures,1994-09-02,5000000,3049135,-1950865,1994,Septiembre,02,Viernes,244
Houseguest,1995-01-06,10500000,26325256,15825256,1995,Enero,06,Viernes,245
Immortal Beloved,1994-12-16,120,0,-120,1994,Diciembre,16,Viernes,246
They don't run the fastest. They don't jump the highest. But they sure are getting the last laugh. Heavyweights. They never met a hot dog they didn't like ... until now.,,0,0,0,,,,,247
The Hunted,1995-02-24,0,0,0,1995,Febrero,24,Viernes,248
I.Q.,1994-12-24,25000000,0,-25000000,1994,Diciembre,24,Sabado,249
Interview with the Vampire,1994-11-11,60000000,223664608,163664608,1994,Noviembre,11,Viernes,250
Jefferson in Paris,1995-03-31,14000000,2474000,-11526000,1995,Marzo,31,Viernes,251
"[{'iso_639_1': 'en', 'name': 'English'}]",,0,0,0,,,,,252
Junior,1994-11-22,60000000,37000000,-23000000,1994,Noviembre,22,Martes,253
Just Cause,1995-02-17,0,0,0,1995,Febrero,17,Viernes,254
A Kid in King Arthur's Court,1995-08-11,0,0,0,1995,Agosto,11,Viernes,255
Kiss of Death,1995-04-21,40000000,0,-40000000,1995,Abril,21,Viernes,256
Star Wars,1977-05-25,11000000,775398007,764398007,1977,Mayo,25,Miercoles,257
Little Women,1994-12-21,18000000,0,-18000000,1994,Diciembre,21,Miercoles,258
A Little Princess,1995-05-10,17000000,0,-17000000,1995,Mayo,10,Miercoles,259
"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",,0,0,0,,,,,260
L'Enfer,1994-02-16,10000000,0,-10000000,1994,Febrero,16,Miercoles,261
Like Water for Chocolate,1992-04-16,2000000,21665468,19665468,1992,Abril,16,Jueves,262
Legends of the Fall,1994-12-16,30000000,160638883,130638883,1994,Diciembre,16,Viernes,263
Major Payne,1995-03-24,0,0,0,1995,Marzo,24,Viernes,264
Little Odessa,1994-10-27,0,0,0,1994,Octubre,27,Jueves,265
Mi Vida Loca,1994-06-08,0,0,0,1994,Junio,08,Miercoles,266
Love Affair,1994-10-21,60000000,0,-60000000,1994,Octubre,21,Viernes,267
Losing Isaiah,1995-03-17,17000000,7603766,-9396234,1995,Marzo,17,Viernes,268
The Madness of King George,1994-12-28,0,0,0,1994,Diciembre,28,Miercoles,269
123.0,,45000000,0,-45000000,,,,,270
Released,,0,0,0,,,,,271
Mixed Nuts,1994-12-21,15000000,0,-15000000,1994,Diciembre,21,Miercoles,272
Milk Money,1994-08-31,0,18137661,18137661,1994,Agosto,31,Miercoles,273
Miracle on 34th Street,1994-11-18,0,46264384,46264384,1994,Noviembre,18,Viernes,274
Miami Rhapsody,1995-01-27,6,5,-1,1995,Enero,27,Viernes,275
My Family,1995-05-03,5500000,0,-5500000,1995,Mayo,03,Miercoles,276
Murder in the First,1995-01-20,0,17381942,17381942,1995,Enero,20,Viernes,277
Nobody's Fool,1994-12-23,0,0,0,1994,Diciembre,23,Viernes,278
Nell,1994-12-23,31000000,106683817,75683817,1994,Diciembre,23,Viernes,279
New Jersey Drive,1995-04-19,0,0,0,1995,Abril,19,Miercoles,280
New York Cop,1993-08-14,0,0,0,1993,Agosto,14,Sabado,281
Beyond Bedlam,1994-04-22,4800000,0,-4800000,1994,Abril,22,Viernes,282
Nemesis 2 - Nebula,1995-09-26,0,0,0,1995,Septiembre,26,Martes,283
Nina Takes a Lover,1995-03-03,0,0,0,1995,Marzo,03,Viernes,284
Natural Born Killers,1994-08-25,34000000,50282766,16282766,1994,Agosto,25,Jueves,285
"[{'iso_639_1': 'en', 'name': 'English'}]",,0,0,0,,,,,286
Once Were Warriors,1994-09-02,0,2201126,2201126,1994,Septiembre,02,Viernes,287
Poison Ivy II: Lily,1996-01-16,0,0,0,1996,Enero,16,Martes,288
Outbreak,1995-03-10,50000000,189859560,139859560,1995,Marzo,10,Viernes,289
"[{'iso_639_1': 'en', 'name': 'English'}]",,16000000,0,-16000000,,,,,290
The Perez Family,1995-05-12,11000000,2832826,-8167174,1995,Mayo,12,Viernes,291
A Pyromaniac's Love Story,1995-04-28,0,0,0,1995,Abril,28,Viernes,292
Pulp Fiction,1994-09-10,8000000,213928762,205928762,1994,Septiembre,10,Sabado,293
Panther,1995-11-10,0,6834525,6834525,1995,Noviembre,10,Viernes,294
Pushing Hands,1992-02-01,400000,152322,-247678,1992,Febrero,01,Sabado,295
Priest,1994-01-01,0,4176932,4176932,1994,Enero,01,Sabado,296
Quiz Show,1994-09-16,0,0,0,1994,Septiembre,16,Viernes,297
Picture Bride,1995-05-05,0,0,0,1995,Mayo,05,Viernes,298
Queen Margot,1994-05-13,0,0,0,1994,Mayo,13,Viernes,299
The Quick and the Dead,1995-02-09,32000000,18552460,-13447540,1995,Febrero,09,Jueves,300
Roommates,1995-03-01,22000000,12400000,-9600000,1995,Marzo,01,Miercoles,301
Prêt-à-Porter,1994-12-23,15000000,11300653,-3699347,1994,Diciembre,23,Viernes,302
Three Colors: Red,1994-05-27,0,0,0,1994,Mayo,27,Viernes,303
Three Colors: Blue,1993-01-10,0,0,0,1993,Enero,10,Domingo,304
Three Colors: White,1994-01-26,0,0,0,1994,Enero,26,Miercoles,305
"Red Firecracker, Green Firecracker",1994-10-14,0,0,0,1994,Octubre,14,Viernes,306
Rent-a-Kid,1995-01-01,0,0,0,1995,Enero,01,Domingo,307
Relative Fear,1995-10-03,0,0,0,1995,Octubre,03,Martes,308
Stuart Saves His Family,1995-04-12,0,0,0,1995,Abril,12,Miercoles,309
The Swan Princess,1994-11-18,35000000,9771658,-25228342,1994,Noviembre,18,Viernes,310
The Secret of Roan Inish,1994-01-01,0,0,0,1994,Enero,01,Sabado,311
The Specialist,1994-10-07,45000000,170362582,125362582,1994,Octubre,07,Viernes,312
Stargate,1994-10-27,55000000,196567262,141567262,1994,Octubre,27,Jueves,313
The Santa Clause,1994-11-10,22000000,189833357,167833357,1994,Noviembre,10,Jueves,314
The Shawshank Redemption,1994-09-23,25000000,28341469,3341469,1994,Septiembre,23,Viernes,315
Shallow Grave,1994-12-22,0,0,0,1994,Diciembre,22,Jueves,316
Suture,1993-09-14,0,102780,102780,1993,Septiembre,14,Martes,317
Strawberry and Chocolate,1993-01-01,0,0,0,1993,Enero,01,Viernes,318
Swimming with Sharks,1994-09-10,0,0,0,1994,Septiembre,10,Sabado,319
"[{'iso_639_1': 'en', 'name': 'English'}]",,32,0,-32,,,,,320
Senior Trip,1995-09-08,0,0,0,1995,Septiembre,08,Viernes,321
To Live,1994-06-30,0,0,0,1994,Junio,30,Jueves,322
Tank Girl,1995-03-31,25000000,4064495,-20935505,1995,Marzo,31,Viernes,323
Tales from the Crypt: Demon Knight,1995-01-13,0,0,0,1995,Enero,13,Viernes,324
Star Trek: Generations,1994-11-17,38000000,120000000,82000000,1994,Noviembre,17,Jueves,325
Tales from the Hood,1995-05-24,6000000,12000000,6000000,1995,Mayo,24,Miercoles,326
Tom & Viv,1994-04-15,0,0,0,1994,Abril,15,Viernes,327
Village of the Damned,1995-04-28,0,0,0,1995,Abril,28,Viernes,328
Tommy Boy,1995-03-31,0,32648673,32648673,1995,Marzo,31,Viernes,329
,,0,0,0,,,,,330
The Underneath,1995-04-28,6500000,0,-6500000,1995,Abril,28,Viernes,331
The Walking Dead,1995-02-24,0,0,0,1995,Febrero,24,Viernes,332
What's Eating Gilbert Grape,1993-12-17,11000000,10032765,-967235,1993,Diciembre,17,Viernes,333
Virtuosity,1995-08-04,30000000,24048000,-5952000,1995,Agosto,04,Viernes,334
While You Were Sleeping,1995-04-21,17000000,182057016,165057016,1995,Abril,21,Viernes,335
The War,1994-11-04,0,0,0,1994,Noviembre,04,Viernes,336
Double Happiness,1994-09-07,0,759393,759393,1994,Septiembre,07,Miercoles,337
Muriel's Wedding,1994-09-29,3000000,15119639,12119639,1994,Septiembre,29,Jueves,338
The Baby-Sitters Club,1995-08-18,0,0,0,1995,Agosto,18,Viernes,339
Ace Ventura: Pet Detective,1994-02-04,15000000,107217396,92217396,1994,Febrero,04,Viernes,340
"The Adventures of Priscilla, Queen of the Desert",1994-05-31,0,11220670,11220670,1994,Mayo,31,Martes,341
